画面名 (JP),機能説明,Status,System,システム,Screen ID,Screen (VI),Giải thích tính năng,URL,画面表示情報,Thông tin hiển thị trên màn hình,Business Flow,Sub menu,サブメニュー,API List
ロック解除,アカウントをロック・解除する。,Not started,Platform SaaS Admin,プラットフォーム管理,PA-USER-005,Account Lock/Unlock,Lock/unlock account,/admin/users/lock-management,ロック状態、失敗回数,"Lock status, failed login count",,,,"PA-USER-005-API-01-Account Lock Status (https://www.notion.so/PA-USER-005-API-01-Account-Lock-Status-368f02c407dd807d9b63fe00f6ba54bb?pvs=21), PA-USER-005-API-03-Unlock Platform User (https://www.notion.so/PA-USER-005-API-03-Unlock-Platform-User-368f02c407dd80b394f3d89d13b069a0?pvs=21), PA-USER-005-API-02-Lock Platform User (https://www.notion.so/PA-USER-005-API-02-Lock-Platform-User-368f02c407dd808a9d69e9ac21e12c26?pvs=21)"
勤怠TOP,勤怠承認ダッシュボードを表示する。,Not started,SAKI Portal,派遣先ポータル,SA-ATT-001,Attendance Dashboard,Dashboard attendance approval.,/saki/attendance,未承認件数、月間労働時間,"Pending approval count, monthly hours",,,,SA-ATT-001-API-01-Attendance Dashboard (https://www.notion.so/SA-ATT-001-API-01-Attendance-Dashboard-36bf02c407dd803191f9f3413c2bda34?pvs=21)
勤怠一覧,提出済み勤怠一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-ATT-002,Attendance List,Danh sách attendance submitted.,/saki/attendance/list,スタッフ名、勤務日、承認状態,"Staff name, work date, approval status",,,,"SA-ATT-002-API-01-Attendance List (https://www.notion.so/SA-ATT-002-API-01-Attendance-List-36bf02c407dd8049abfcf0d4902e4832?pvs=21), SA-CON-002-API-01-Contract Detail (https://www.notion.so/SA-CON-002-API-01-Contract-Detail-36bf02c407dd80e5979ffe10ba156bbf?pvs=21), SA-REQ-002-API-01-Staffing Request Detail (https://www.notion.so/SA-REQ-002-API-01-Staffing-Request-Detail-36bf02c407dd80809c0be1d9042b479a?pvs=21), SA-AUTH-002-API-01-Logout (https://www.notion.so/SA-AUTH-002-API-01-Logout-36bf02c407dd80ec9e8dd13b6f411a69?pvs=21)"
勤怠詳細,勤怠詳細を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-ATT-003,Attendance Detail,Xem attendance detail.,/saki/attendance/:id,出退勤時間、残業時間、休憩時間,"Check-in/out, overtime, break time",,,,SA-ATT-003-API-01-Attendance Detail (https://www.notion.so/SA-ATT-003-API-01-Attendance-Detail-36bf02c407dd802b99bef3ef2bc2db71?pvs=21)
勤怠承認,勤怠申請を承認・却下する。,Not started,SAKI Portal,派遣先ポータル,SA-ATT-004,Attendance Approval,Approve/reject attendance.,/saki/attendance/:id/approve,承認状態、却下理由,"Approval status, reject reason",,,,SA-ATT-004-API-01-Attendance Approval (https://www.notion.so/SA-ATT-004-API-01-Attendance-Approval-36bf02c407dd80bba07eeda97159eb48?pvs=21)
未申請勤怠一覧,未申請勤怠一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-ATT-005,Unsubmitted Attendance List,Danh sách attendance chưa submit.,/saki/attendance/unsubmitted,未申請勤怠、未申請日数,"Missing attendance, pending days",,,,SA-ATT-005-API-01-Unsubmitted Attendance List (https://www.notion.so/SA-ATT-005-API-01-Unsubmitted-Attendance-List-36bf02c407dd80d5b028cd72f5fc4d2b?pvs=21)
未承認勤怠一覧,未承認勤怠一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-ATT-006,Unapproved Attendance List,Danh sách attendance chưa approve.,/saki/attendance/unapproved,未承認勤怠、提出日時,"Pending attendance, submit datetime",,,,SA-ATT-006-API-01-Unapproved Attendance List (https://www.notion.so/SA-ATT-006-API-01-Unapproved-Attendance-List-36bf02c407dd80408949f266ebf90155?pvs=21)
勤怠通知履歴,勤怠通知履歴を参照する。,Not started,SAKI Portal,派遣先ポータル,SA-ATT-007,Attendance Reminder History,Lịch sử reminder attendance.,/saki/attendance/reminders,通知対象、送信日時,"Notification target, sent datetime",,,,SA-ATT-007-API-01-Attendance Reminder History (https://www.notion.so/SA-ATT-007-API-01-Attendance-Reminder-History-36bf02c407dd80dc8fdcd219da7fa138?pvs=21)
勤怠承認履歴,勤怠承認履歴を参照する。,Not started,SAKI Portal,派遣先ポータル,SA-ATT-008,Attendance Approval History,Lịch sử approve attendance.,/saki/attendance/approval-history,承認者、承認日時,"Approver, approval datetime",,,,SA-ATT-008-API-01-Attendance Approval History (https://www.notion.so/SA-ATT-008-API-01-Attendance-Approval-History-36bf02c407dd80029feef834d91d716b?pvs=21)
勤怠DL,勤怠データを出力する。,Not started,SAKI Portal,派遣先ポータル,SA-ATT-009,Attendance Export,Export attendance CSV/Excel.,/saki/attendance/export,出力期間、生成ファイル,"Export period, generated file",,,,SA-ATT-009-API-01-Attendance Export (https://www.notion.so/SA-ATT-009-API-01-Attendance-Export-36bf02c407dd80e3aa91fe209a09b217?pvs=21)
特別条項適用申請作成,36協定の特別条項適用申請を新規に作成・登録する画面です。,Not started,SAKI Portal,派遣先ポータル,SA-ATT-010,Tạo yêu cầu điều khoản đặc biệt,Tạo mới và đăng ký yêu cầu áp dụng điều khoản đặc biệt của Hiệp định 36,/saki/attendance/special-clause/create,<JP>,Tạo yêu cầu điều khoản đặc biệt,,,,
特別条項適用申請詳細,申請された特別条項の適用内容や、現在の承認ステータスを詳細に確認する画面です。,Not started,SAKI Portal,派遣先ポータル,SA-ATT-011,Chi tiết yêu cầu điều khoản đặc biệt,Chi tiết yêu cầu điều khoản đặc biệt,/saki/attendance/special-clause/:id,<JP>,Chi tiết yêu cầu điều khoản đặc biệt,,,,
特別条項適用申請編集,申請された特別条項の適用内容を編集・変更する画面です。,Not started,SAKI Portal,派遣先ポータル,SA-ATT-012,Sửa đổi yêu cầu điều khoản đặc biệt,Sửa đổi yêu cầu điều khoản đặc biệt,/saki/attendance/special-clause/:id/edit,<JP>,Sửa đổi yêu cầu điều khoản đặc biệt,,,,
ログイン,"派遣先ユーザーがシステムへログインする。
追記）
多要素認証が発生する場合、多要素認証の情報も入力する",Not started,SAKI Portal,派遣先ポータル,SA-AUTH-001,Login,Đăng nhập hệ thống SAKI.,/saki/login,ログインID、パスワード、エラーメッセージ,"Login ID, password, error message",ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),,,SA-AUTH-001-API-01-Login (https://www.notion.so/SA-AUTH-001-API-01-Login-36bf02c407dd80669d35d14d03b477b7?pvs=21)
ログアウト,システムからログアウトする。,Not started,SAKI Portal,派遣先ポータル,SA-AUTH-002,Logout,Logout khỏi hệ thống.,/saki/logout,ログインユーザー、ログアウト日時,"Login user, logout datetime",ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),,,
パスワード変更,ログインユーザーのパスワードを変更する。,Not started,SAKI Portal,派遣先ポータル,SA-AUTH-003,Change Password,Đổi password user hiện tại.,/saki/change-password,現在パスワード、新パスワード,"Current password, new password","ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21)",,,SA-AUTH-003-API-01-Change Password (https://www.notion.so/SA-AUTH-003-API-01-Change-Password-36bf02c407dd80e9ab79f21d0e755c56?pvs=21)
パスワード初期化,ユーザーパスワードを初期化する。,Not started,SAKI Portal,派遣先ポータル,SA-AUTH-004,Password Reset,Reset password user.,/saki/password-reset,対象ユーザー、初期化結果,"Target user, reset result",テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21),,,SA-AUTH-004-API-01-Password Reset (https://www.notion.so/SA-AUTH-004-API-01-Password-Reset-36bf02c407dd80e0a1c2f1b83c91e1ad?pvs=21)
ログイン履歴,ログイン履歴を参照する。,Not started,SAKI Portal,派遣先ポータル,SA-AUTH-006,Login History,Xem login history.,/saki/login-history,ログイン日時、IPアドレス、ログアウト日時,"Login datetime, IP address, logout datetime",ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),,,SA-AUTH-006-API-01-Login History (https://www.notion.so/SA-AUTH-006-API-01-Login-History-36bf02c407dd80e0ae16c166e5942141?pvs=21)
請求一覧,請求一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-BILL-001,Invoice List,Xem danh sách tất cả các invoice,/saki/billing,,"Invoice No, Invoice Title, Billing Month, Amount",,,,
請求一覧,請求一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-BILL-002,Invoice List,Xem danh sách các công ty MOTO đang làm việc với SAKI có invoice cần xác nhận,/saki/billing/company,,"Company No, Company Name, Invoice Month, Invoice Count",,,,
請求一覧,請求一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-BILL-003,Invoice List,Xem danh sách các department có invoice cần xác nhận,/saki/billing/department,,"Department No, Department Name, Invoice Month, Invoice Count",,,,
請求一覧,Lock Invoice List,Not started,SAKI Portal,派遣先ポータル,SA-BILL-004,Lock Invoice List,Xem danh sách các invoice đã được lock,/saki/billing/lock,,,,,,
請求一覧,Unlock Invoice List,Not started,SAKI Portal,派遣先ポータル,SA-BILL-005,Unlock Invoice List,Xem danh sách các invoice chưa được lock,/saki/billing/unlock,,,,,,
請求一覧,Company Invoice Detail,Not started,SAKI Portal,派遣先ポータル,SA-BILL-006,Company Invoice Detail,Xem danh sách các invoice trong 1 company MOTO,/saki/billing/company/:companyId,,"Company No, Company Name, Invoice List",,,,
請求一覧,Deparment Invoice Detail,Not started,SAKI Portal,派遣先ポータル,SA-BILL-007,Deparment Invoice Detail,Xem danh sách cáci invoice trong 1 department,/saki/billing/department/:departmentId,,"Department No, Department Name, Invoice List",,,,
請求詳細,請求詳細を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-BILL-008,Invoice Detail,Xem chi tiết invoice.,/saki/billing/:id,請求明細、勤怠集計,"Billing detail, attendance summary",,,,
請求書PDF,請求書PDFをダウンロードする。,Not started,SAKI Portal,派遣先ポータル,SA-BILL-009,Invoice PDF Download,Download invoice PDF.,/saki/billing/:id/pdf,PDFファイル、生成日時,"PDF file, generated datetime",,,,
派遣先テナント初期設定,派遣先テナント初期設定,Not started,SAKI Portal,派遣先ポータル,SA-COM-000,Tenant init Setup,,,,,,,,
通知一覧,システム通知・アラート一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-COM-005,Notification Center,Danh sách notification và alert.,/saki/notifications,通知タイトル、通知種別、送信日時,"Notification title, category, sent datetime",,,,SA-COM-005-API-01-Notification Center (https://www.notion.so/SA-COM-005-API-01-Notification-Center-36bf02c407dd80318287c17e15680413?pvs=21)
ダウンロード履歴,ダウンロード履歴を参照する。,Not started,SAKI Portal,派遣先ポータル,SA-COM-007,Download History,Lịch sử download/export file.,/saki/download-history,DLファイル、操作者、日時,"Downloaded file, operator, datetime",,,,SA-COM-007-API-01-Download History (https://www.notion.so/SA-COM-007-API-01-Download-History-36bf02c407dd803b8aaae5935471a084?pvs=21)
アップロード履歴,アップロード履歴を参照する。,Not started,SAKI Portal,派遣先ポータル,SA-COM-008,Upload History,Lịch sử upload file.,/saki/upload-history,アップロードファイル、アップロード日時、結果状態,"Uploaded file, upload datetime, result status",,,,SA-COM-008-API-01-Upload History (https://www.notion.so/SA-COM-008-API-01-Upload-History-36bf02c407dd803da806e6e34a31cb4b?pvs=21)
アップロード結果,アップロード結果を参照する。,Not started,SAKI Portal,派遣先ポータル,SA-COM-009,Upload Result,Xem kết quả upload/import file.,/saki/upload-results,検証結果、成功件数、エラー件数,"Validation result, success count, error count",,,,SA-COM-009-API-01-Upload Result (https://www.notion.so/SA-COM-009-API-01-Upload-Result-36bf02c407dd805bb2accd38f38b4a85?pvs=21)
検証エラー一覧,検証エラー一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-COM-010,Validation Error List,Danh sách validation errors.,/saki/validation-errors,エラー行、対象項目、エラー内容,"Error row, target field, error message",,,,SA-COM-010-API-01-Validation Error List (https://www.notion.so/SA-COM-010-API-01-Validation-Error-List-36bf02c407dd80f4bb96cd4eb0f0ce83?pvs=21)
操作履歴,ユーザー操作履歴を参照する。,Not started,SAKI Portal,派遣先ポータル,SA-COM-011,Audit Log,Audit thao tác user.,/saki/audit-log,操作者、操作種別、対象画面,"Operator, operation type, target screen",,,,SA-COM-011-API-01-Audit Log (https://www.notion.so/SA-COM-011-API-01-Audit-Log-36bf02c407dd809998f9eb113be176e7?pvs=21)
契約一覧,契約一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-CON-001,Contract List,Danh sách contract.,/saki/contracts,契約番号、派遣元会社、契約期間、状態,"Contract No, MOTO company, period, status","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21)",,,SA-CON-001-API-01-Contract List (https://www.notion.so/SA-CON-001-API-01-Contract-List-36bf02c407dd80a19f75e910c6041f6d?pvs=21)
契約詳細,契約詳細を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-CON-002,Contract Detail,Xem contract detail.,/saki/contracts/:id,スタッフ情報、請求条件,"Staff info, billing condition","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21)",,,
契約承認,契約を承認・却下する。,Not started,SAKI Portal,派遣先ポータル,SA-CON-003,Contract Approval,Approve/reject contract.,/saki/contracts/:id/approve,承認状態、却下理由,"Approval status, reject reason","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約承認フロー (https://www.notion.so/362f02c407dd80d9a3fef628f1cf05f6?pvs=21)",,,SA-CON-003-API-01-Contract Approval (https://www.notion.so/SA-CON-003-API-01-Contract-Approval-36bf02c407dd801c97c2d4e0fed09712?pvs=21)
未承認契約一覧,未承認契約一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-CON-004,Pending Contract Approval,Danh sách contract chờ approve.,/saki/contracts/pending,未承認契約、提出日時,"Pending contracts, submitted datetime",Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21),,,SA-CON-004-API-01-Pending Contract Approval (https://www.notion.so/SA-CON-004-API-01-Pending-Contract-Approval-36bf02c407dd80f6a132fff21cb05264?pvs=21)
契約変更履歴,契約変更履歴を参照する。,Not started,SAKI Portal,派遣先ポータル,SA-CON-005,Contract Revision History,Lịch sử chỉnh sửa contract.,/saki/contracts/history,変更項目、操作者、日時,"Changed field, operator, datetime",Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21),,,SA-CON-005-API-01-Contract Revision History (https://www.notion.so/SA-CON-005-API-01-Contract-Revision-History-36bf02c407dd800b8ccafb597bf2e2dc?pvs=21)
契約書DL,契約書PDFをダウンロードする。,Not started,SAKI Portal,派遣先ポータル,SA-CON-006,Contract PDF Download,Download contract PDF.,/saki/contracts/:id/pdf,PDFファイル、生成日時,"PDF file, generated datetime",Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21),,,SA-CON-006-API-01-Contract PDF Download (https://www.notion.so/SA-CON-006-API-01-Contract-PDF-Download-36bf02c407dd801fb043e4f290116c17?pvs=21)
契約DL履歴,契約書DL履歴を参照する。,Not started,SAKI Portal,派遣先ポータル,SA-CON-007,Contract Download History,Lịch sử download contract.,/saki/contracts/download-history,DLファイル、操作者,"Downloaded file, operator",Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21),,,SA-CON-007-API-01-Contract Download History (https://www.notion.so/SA-CON-007-API-01-Contract-Download-History-36bf02c407dd808cb876cb1e00c094a6?pvs=21)
契約延長承認,契約延長申請を承認する。,Not started,SAKI Portal,派遣先ポータル,SA-CON-008,Contract Extension Approval,Approve extension request.,/saki/contracts/:id/extension,延長期間、新請求単価,"Extension period, new billing amount",,,,SA-CON-008-API-01-Contract Extension Approval (https://www.notion.so/SA-CON-008-API-01-Contract-Extension-Approval-36bf02c407dd8044aeeccd1a11401af0?pvs=21)
契約終了確認,契約終了内容を確認する。,Not started,SAKI Portal,派遣先ポータル,SA-CON-009,Contract End Confirmation,Confirm contract end.,/saki/contracts/:id/end,終了日、終了理由,"End date, end reason",,,,SA-CON-009-API-01-Contract End Confirmation (https://www.notion.so/SA-CON-009-API-01-Contract-End-Confirmation-36bf02c407dd806ba6e9e7a61ffa4d85?pvs=21)
派遣照会一覧,派遣照会一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-REQ-001,Staffing  Request List,Danh sách staffing requests.,/saki/requests,派遣照会番号、状態、作成日、回答期限,"Request No, status, created date, deadline","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会作成フロー (https://www.notion.so/362f02c407dd805a994bc76255349f48?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",,,SA-REQ-001-API-01-Staffing Request List (https://www.notion.so/SA-REQ-001-API-01-Staffing-Request-List-36bf02c407dd806d811dd9fb68437671?pvs=21)
派遣照会詳細,派遣照会詳細を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-REQ-002,Staffing Request Detail,Xem chi tiết staffing request.,/saki/requests/:id,募集条件、就業場所、契約期間,"Requirement, workplace, contract period","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会,見積回答フロー (https://www.notion.so/362f02c407dd809d9476e61607dfe5e3?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",,,"SA-REQ-002-API-01-Staffing Request Detail (https://www.notion.so/SA-REQ-002-API-01-Staffing-Request-Detail-36bf02c407dd80809c0be1d9042b479a?pvs=21), SA-REQ-005-API-01-Staffing Cancel Request (https://www.notion.so/SA-REQ-005-API-01-Staffing-Cancel-Request-36bf02c407dd802f85dfe67f648f21ea?pvs=21), SA-REQ-006-API-01-Estimate List (https://www.notion.so/SA-REQ-006-API-01-Estimate-List-36bf02c407dd8087aab2e101b9b3a901?pvs=21), SA-REQ-007-API-01-Estimate Detail (https://www.notion.so/SA-REQ-007-API-01-Estimate-Detail-36bf02c407dd80139629d65121ce5a2a?pvs=21), SA-REQ-008-API-01-Estimate Compare (https://www.notion.so/SA-REQ-008-API-01-Estimate-Compare-36bf02c407dd80608fcbd44d7daf248f?pvs=21), SA-REQ-009-API-01-Estimate Export (https://www.notion.so/SA-REQ-009-API-01-Estimate-Export-36bf02c407dd80c08967e863ca84b23c?pvs=21), SA-REQ-010-API-01-Staffing Response List (https://www.notion.so/SA-REQ-010-API-01-Staffing-Response-List-36bf02c407dd805fb3b5d572d6553362?pvs=21), SA-REQ-011-API-01-Response Detail (https://www.notion.so/SA-REQ-011-API-01-Response-Detail-36bf02c407dd809795d5c89c351fbed8?pvs=21)"
派遣照会作成,新規派遣照会を作成する。,Not started,SAKI Portal,派遣先ポータル,SA-REQ-003,Staffing Create Request,Tạo staffing request mới.,/saki/requests/create,募集条件、必要人数、契約期間,"Requirement, headcount, contract period","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会作成フロー (https://www.notion.so/362f02c407dd805a994bc76255349f48?pvs=21)",,,SA-REQ-003-API-01-Staffing Create Request (https://www.notion.so/SA-REQ-003-API-01-Staffing-Create-Request-36bf02c407dd80cbbdc4fabab0308b95?pvs=21)
派遣照会修正,派遣照会を修正する。,Not started,SAKI Portal,派遣先ポータル,SA-REQ-004,Staffing Edit Request,Chỉnh sửa request trước khi finalized.,/saki/requests/:id/edit,更新項目、更新日時,"Updated fields, modified datetime","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 派遣照会作成フロー (https://www.notion.so/362f02c407dd805a994bc76255349f48?pvs=21), 派遣照会,見積回答フロー (https://www.notion.so/362f02c407dd809d9476e61607dfe5e3?pvs=21)",,,SA-REQ-004-API-01-Staffing Edit Request (https://www.notion.so/SA-REQ-004-API-01-Staffing-Edit-Request-36bf02c407dd80e39459cf271c517e2c?pvs=21)
派遣照会取消,派遣照会を取消する。,Not started,SAKI Portal,派遣先ポータル,SA-REQ-005,Staffing Cancel Request,Hủy staffing request.,/saki/requests/:id/cancel,取消理由、取消日時,"Cancel reason, canceled datetime","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",,,SA-REQ-005-API-01-Staffing Cancel Request (https://www.notion.so/SA-REQ-005-API-01-Staffing-Cancel-Request-36bf02c407dd802f85dfe67f648f21ea?pvs=21)
見積一覧,派遣元からの見積一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-REQ-006,Estimate List,Danh sách estimate từ MOTO.,/saki/estimates,派遣元会社、見積金額、状態,"MOTO company, estimate amount, status","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",,,SA-REQ-006-API-01-Estimate List (https://www.notion.so/SA-REQ-006-API-01-Estimate-List-36bf02c407dd8087aab2e101b9b3a901?pvs=21)
見積詳細,見積詳細を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-REQ-007,Estimate Detail,Chi tiết estimate.,/saki/estimates/:id,請求条件、見積条件,"Billing condition, estimate condition","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",,,SA-REQ-007-API-01-Estimate Detail (https://www.notion.so/SA-REQ-007-API-01-Estimate-Detail-36bf02c407dd80139629d65121ce5a2a?pvs=21)
見積比較,複数派遣元の見積を比較する。,Not started,SAKI Portal,派遣先ポータル,SA-REQ-008,Estimate Compare,So sánh estimate giữa nhiều MOTO.,/saki/estimates/compare,単価、条件、回答速度,"Unit price, condition, response speed","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",,,SA-REQ-008-API-01-Estimate Compare (https://www.notion.so/SA-REQ-008-API-01-Estimate-Compare-36bf02c407dd80608fcbd44d7daf248f?pvs=21)
見積DL,見積データを出力する。,Not started,SAKI Portal,派遣先ポータル,SA-REQ-009,Estimate Export,Export estimate CSV/PDF.,/saki/estimates/export,出力条件、生成ファイル,"Export condition, generated file","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",,,SA-REQ-009-API-01-Estimate Export (https://www.notion.so/SA-REQ-009-API-01-Estimate-Export-36bf02c407dd80c08967e863ca84b23c?pvs=21)
派遣照会回答一覧,派遣照会回答一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-REQ-010,Staffing Response List,Danh sách response từ MOTO.,/saki/responses,回答会社、提案人数、請求単価,"Response company, proposed count, billing amount","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",,,SA-REQ-010-API-01-Staffing Response List (https://www.notion.so/SA-REQ-010-API-01-Staffing-Response-List-36bf02c407dd805fb3b5d572d6553362?pvs=21)
派遣照会回答詳細,派遣照会回答詳細を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-REQ-011,Response Detail,Xem response detail.,/saki/responses/:id,回答内容、コメント、回答日時,"Response detail, comment, response datetime","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21), 契約作成フロー (https://www.notion.so/362f02c407dd80f3a10cfe645cd590f4?pvs=21)",,,SA-REQ-011-API-01-Response Detail (https://www.notion.so/SA-REQ-011-API-01-Response-Detail-36bf02c407dd809795d5c89c351fbed8?pvs=21)
未回答一覧,未回答一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-REQ-013,Pending Response List,Danh sách request chưa có response.,/saki/pending-responses,派遣照会番号、期限、未回答日数,"Request No, deadline, pending days","Diagram 2 — 派遣照会〜契約成立フロー (https://www.notion.so/Diagram-2-364f02c407dd806a8429dd8ff501068b?pvs=21), 見積比較フロー (https://www.notion.so/362f02c407dd8047b453d78dc8f5d44d?pvs=21)",,,SA-REQ-013-API-01-Pending Response List (https://www.notion.so/SA-REQ-013-API-01-Pending-Response-List-36bf02c407dd80699d68e3a32d42805d?pvs=21)
企業マスタ,企業情報を管理する。,Not started,SAKI Portal,派遣先ポータル,SA-SET-001,Company Master,Quản lý company info.,/saki/settings/company,会社名、住所、税番号,"Company name, address, tax code",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,
部署マスタ,部署情報を管理する。,Not started,SAKI Portal,派遣先ポータル,SA-SET-002,Department Master,Quản lý department.,/saki/settings/departments,部署名、責任者,"Department name, manager",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,
就業場所一覧,就業場所一覧を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-SET-003,Workplace List,Danh sách workplace.,/saki/settings/workplaces,就業場所名、住所、利用状態,"Workplace name, address, active status",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,
権限マスタ,権限ロールを管理する。,Not started,SAKI Portal,派遣先ポータル,SA-SET-004,Role Master,Quản lý RBAC role.,/saki/settings/roles,権限名、権限数,"Role name, permission count","テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21)",,,
就業場所詳細,就業場所詳細を表示する。,Not started,SAKI Portal,派遣先ポータル,SA-SET-004,Workplace Detail,Chi tiết workplace.,/saki/settings/workplaces/:id,就業場所詳細、連絡先,"Workplace detail, contact info",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,
ユーザーマスタ,派遣先ユーザーを管理する。,Not started,SAKI Portal,派遣先ポータル,SA-SET-005,User Master,Quản lý SAKI users.,/saki/settings/users,ユーザー名、権限、状態,"User name, role, status","テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21), テナント権限管理フロー (https://www.notion.so/362f02c407dd809f9b10fd60ec3d5513?pvs=21)",,,
